upi,true_val,pred_val,pred_prob,pred_correct
UPI000201C2C5,VAL,VAL,0.95,1.0
UPI000201F43E,endolysin,endolysin,0.98,1.0
UPI000218DE5F,endolysin,endolysin,1.0,1.0
UPI000218E38B,endolysin,endolysin,1.0,1.0
UPI000218E85E,endolysin,endolysin,1.0,1.0
UPI000218E8FB,endolysin,endolysin,1.0,1.0
UPI000218EB78,endolysin,endolysin,1.0,1.0
UPI000218EDAE,endolysin,endolysin,1.0,1.0
UPI00021C4ACA,endolysin,endolysin,1.0,1.0
UPI000225C65E,VAL,VAL,1.0,1.0
UPI00022A8487,endolysin,endolysin,1.0,1.0
UPI00022AB275,endolysin,endolysin,0.99,1.0
UPI0002301A8B,endolysin,endolysin,1.0,1.0
UPI000232EF86,endolysin,endolysin,1.0,1.0
UPI000232F02F,VAL,VAL,1.0,1.0
UPI000232F089,endolysin,endolysin,1.0,1.0
UPI000232F1FF,endolysin,endolysin,1.0,1.0
UPI000232F5A8,endolysin,endolysin,1.0,1.0
UPI0002330693,VAL,VAL,0.96,1.0
UPI00023EEDDA,VAL,VAL,0.97,1.0
UPI0002439134,VAL,VAL,0.94,1.0
UPI000264ACC3,endolysin,endolysin,1.0,1.0
UPI0002689191,VAL,VAL,0.79,1.0
UPI00026D9435,endolysin,endolysin,0.92,1.0
UPI00026E1155,endolysin,endolysin,1.0,1.0
UPI000274F05E,VAL,VAL,0.57,1.0
UPI000292E1D3,endolysin,endolysin,0.99,1.0
UPI00029C8112,VAL,VAL,1.0,1.0
UPI00029CF9A9,VAL,VAL,1.0,1.0
UPI00029D1F0D,VAL,VAL,0.99,1.0
UPI00029D2E9A,endolysin,endolysin,0.99,1.0
UPI0002A85C21,VAL,VAL,1.0,1.0
UPI0002AB0825,VAL,endolysin,0.6,0.0
UPI0002AC5B91,VAL,VAL,1.0,1.0
UPI0002B28B23,VAL,VAL,0.99,1.0
UPI0002B8B1DE,endolysin,endolysin,1.0,1.0
UPI0002B8B23D,endolysin,endolysin,1.0,1.0
UPI0002C07200,endolysin,endolysin,0.99,1.0
UPI0002C09929,VAL,VAL,1.0,1.0
UPI0002C6BB18,VAL,VAL,0.51,1.0
UPI0002D140D4,VAL,VAL,0.93,1.0
UPI0002F2A0F2,endolysin,endolysin,0.99,1.0
UPI00031CD7DF,endolysin,endolysin,0.99,1.0
UPI000332D92C,endolysin,endolysin,0.98,1.0
UPI0003585183,endolysin,endolysin,1.0,1.0
UPI0003585CBA,endolysin,endolysin,0.99,1.0
UPI0003880946,VAL,VAL,0.99,1.0
UPI0003880B7E,VAL,VAL,1.0,1.0
UPI00038811C2,VAL,VAL,1.0,1.0
UPI0003926921,endolysin,endolysin,1.0,1.0
UPI0003B29455,endolysin,endolysin,0.8,1.0
UPI0003BC1E55,endolysin,endolysin,0.88,1.0
UPI0003C95BC5,VAL,VAL,0.98,1.0
UPI0003C9C022,endolysin,endolysin,1.0,1.0
UPI0003D7FD92,VAL,VAL,1.0,1.0
UPI0003E33D80,endolysin,endolysin,1.0,1.0
UPI0003E3606E,VAL,VAL,1.0,1.0
UPI0003E3809C,VAL,VAL,1.0,1.0
UPI0003E3A8C5,endolysin,endolysin,0.98,1.0
UPI0003E3AF09,endolysin,endolysin,1.0,1.0
UPI0003EFBF6A,VAL,VAL,0.88,1.0
UPI00043AFCC5,endolysin,endolysin,1.0,1.0
UPI0004591E8D,VAL,VAL,1.0,1.0
UPI0004592E85,VAL,VAL,1.0,1.0
UPI000499B427,endolysin,endolysin,0.61,1.0
UPI000499C46D,VAL,VAL,0.98,1.0
UPI000499E215,VAL,VAL,1.0,1.0
UPI00049AB793,endolysin,endolysin,0.82,1.0
UPI00049AF658,endolysin,endolysin,0.93,1.0
UPI0004A5138D,VAL,VAL,0.84,1.0
UPI0004A8536A,endolysin,endolysin,0.99,1.0
UPI0004E5DA3E,VAL,VAL,0.95,1.0
UPI0004EF7D84,endolysin,endolysin,0.98,1.0
UPI0004EF7EE5,VAL,VAL,0.53,1.0
UPI0004EF9354,VAL,VAL,0.98,1.0
UPI0004F74DE1,endolysin,endolysin,1.0,1.0
UPI0004F7742A,endolysin,endolysin,0.97,1.0
UPI00051A9BB2,endolysin,endolysin,1.0,1.0
UPI00051AA23E,endolysin,endolysin,1.0,1.0
UPI00052A675F,VAL,VAL,1.0,1.0
UPI00052A7C32,endolysin,endolysin,1.0,1.0
UPI00052ADF68,endolysin,endolysin,0.98,1.0
UPI00052AFB84,endolysin,endolysin,0.98,1.0
UPI000536481C,endolysin,endolysin,0.99,1.0
UPI0005410AE6,endolysin,endolysin,0.97,1.0
UPI00054C9E30,VAL,VAL,1.0,1.0
UPI000572F680,endolysin,endolysin,0.92,1.0
UPI0005A31197,endolysin,endolysin,0.99,1.0
UPI0005A5CF84,VAL,VAL,0.98,1.0
UPI0005AD20A5,endolysin,endolysin,0.97,1.0
UPI0005AD5AD1,endolysin,endolysin,0.91,1.0
UPI0005B24BF4,endolysin,endolysin,1.0,1.0
UPI0005D8C729,endolysin,endolysin,0.99,1.0
UPI0005D9D28D,VAL,VAL,1.0,1.0
UPI0005FEB572,VAL,VAL,1.0,1.0
UPI0006184FEA,endolysin,endolysin,0.79,1.0
UPI00061901BF,VAL,VAL,1.0,1.0
UPI00061A6C61,endolysin,endolysin,1.0,1.0
UPI00061A7A81,endolysin,endolysin,1.0,1.0
UPI000624155F,VAL,VAL,0.98,1.0
UPI000624D1FF,VAL,VAL,0.99,1.0
UPI00062DED2A,VAL,VAL,1.0,1.0
UPI000654C543,endolysin,endolysin,0.99,1.0
UPI00065F620A,VAL,endolysin,0.55,0.0
UPI00067A4A81,endolysin,endolysin,0.93,1.0
UPI00067A5915,VAL,VAL,1.0,1.0
UPI0006BC7446,endolysin,endolysin,1.0,1.0
UPI0006BCAEFD,endolysin,endolysin,0.94,1.0
UPI0006BCC269,endolysin,endolysin,0.98,1.0
UPI0006BD0C0C,VAL,endolysin,0.51,0.0
UPI0006BD1B7E,endolysin,endolysin,0.87,1.0
UPI0006BD3F3D,VAL,VAL,1.0,1.0
UPI0006BD8E18,endolysin,endolysin,0.96,1.0
UPI0006BDB50A,endolysin,endolysin,1.0,1.0
UPI0006BE13FB,endolysin,endolysin,0.98,1.0
UPI000705B08C,VAL,VAL,0.99,1.0
UPI000705DBA0,endolysin,endolysin,1.0,1.0
UPI0007060808,VAL,VAL,0.86,1.0
UPI0007069913,endolysin,endolysin,0.83,1.0
UPI000706C5EC,VAL,VAL,0.98,1.0
UPI00071EB2C9,VAL,VAL,0.63,1.0
UPI000720D140,VAL,VAL,0.93,1.0
UPI000733ADA3,VAL,VAL,1.0,1.0
UPI000739485B,endolysin,endolysin,1.0,1.0
UPI0007394B79,VAL,VAL,1.0,1.0
UPI0007448627,endolysin,endolysin,0.97,1.0
UPI000744A353,endolysin,endolysin,0.92,1.0
UPI000744A942,VAL,endolysin,0.9,0.0
UPI000744BC57,VAL,VAL,0.94,1.0
UPI000744C849,endolysin,endolysin,0.96,1.0
UPI0007631170,VAL,VAL,0.9,1.0
UPI00078D17E0,endolysin,endolysin,0.98,1.0
UPI00078D3409,VAL,VAL,1.0,1.0
UPI00078D4F2C,endolysin,endolysin,0.99,1.0
UPI00078E041D,endolysin,endolysin,0.99,1.0
UPI00078E4F42,VAL,VAL,1.0,1.0
UPI0007A76EFA,VAL,VAL,1.0,1.0
UPI0007A773DE,VAL,VAL,0.99,1.0
UPI0007B4339E,VAL,VAL,1.0,1.0
UPI0007B44CD6,VAL,VAL,0.98,1.0
UPI0007B588C4,VAL,VAL,1.0,1.0
UPI0007B61937,endolysin,endolysin,0.99,1.0
UPI0007B6411A,endolysin,endolysin,1.0,1.0
UPI0007B64905,endolysin,endolysin,1.0,1.0
UPI0007C621A0,VAL,VAL,1.0,1.0
UPI0007C62308,VAL,VAL,0.84,1.0
UPI0007DDA4AF,VAL,VAL,1.0,1.0
UPI0007DE1D32,endolysin,endolysin,1.0,1.0
UPI0007F08997,VAL,VAL,1.0,1.0
UPI0007FB6DB1,endolysin,endolysin,0.95,1.0
UPI00080EFD41,endolysin,endolysin,0.97,1.0
UPI00081982FB,VAL,VAL,1.0,1.0
UPI00084F13D1,VAL,VAL,1.0,1.0
UPI00084F1648,endolysin,endolysin,0.96,1.0
UPI00084F3AE8,VAL,VAL,1.0,1.0
UPI00084F6919,endolysin,endolysin,0.98,1.0
UPI00084F84B0,endolysin,endolysin,0.98,1.0
UPI00086492E5,VAL,VAL,0.97,1.0
UPI000864DF48,endolysin,endolysin,0.96,1.0
UPI000864FAEC,VAL,VAL,1.0,1.0
UPI0008653174,endolysin,endolysin,0.97,1.0
UPI000866241E,endolysin,endolysin,1.0,1.0
UPI00086640BC,endolysin,endolysin,0.97,1.0
UPI000870C098,VAL,VAL,1.0,1.0
UPI000870DC43,endolysin,endolysin,0.88,1.0
UPI0008DB3B39,endolysin,endolysin,1.0,1.0
UPI0008DC2E1D,VAL,VAL,1.0,1.0
UPI0008DC3B42,endolysin,endolysin,0.99,1.0
UPI0008DC4747,endolysin,endolysin,0.99,1.0
UPI000909B5D7,VAL,VAL,0.92,1.0
UPI000909FF9E,endolysin,endolysin,0.98,1.0
UPI00090ACAA8,endolysin,endolysin,1.0,1.0
UPI0009320997,VAL,endolysin,0.65,0.0
UPI000958CC02,VAL,VAL,0.94,1.0
UPI000958D06A,endolysin,endolysin,0.9,1.0
UPI0009803E44,VAL,VAL,1.0,1.0
UPI0009C23A51,VAL,VAL,1.0,1.0
UPI0009C37E6E,endolysin,endolysin,0.99,1.0
UPI0009C3D8F5,VAL,VAL,0.89,1.0
UPI000A1D404F,VAL,VAL,0.52,1.0
UPI000A275E89,VAL,VAL,0.93,1.0
UPI000A29EECA,endolysin,endolysin,0.96,1.0
UPI000A29EFAB,endolysin,endolysin,0.8,1.0
UPI000A31C53C,endolysin,endolysin,0.88,1.0
UPI000B57D3DB,VAL,endolysin,0.75,0.0
UPI000B5EDDF6,endolysin,endolysin,0.94,1.0
UPI000B5FEBC0,endolysin,endolysin,0.99,1.0
UPI000B6195B1,endolysin,endolysin,1.0,1.0
UPI000B61DB59,endolysin,endolysin,0.89,1.0
UPI000B8DA632,VAL,VAL,1.0,1.0
UPI000B9468F4,endolysin,endolysin,1.0,1.0
UPI000B949C34,endolysin,endolysin,1.0,1.0
UPI000B94A5F6,VAL,VAL,0.95,1.0
UPI000B94EBC8,endolysin,endolysin,0.95,1.0
UPI000B94EEB4,VAL,VAL,1.0,1.0
UPI000B9D6967,endolysin,endolysin,0.97,1.0
UPI000B9D6F62,endolysin,endolysin,0.99,1.0
UPI000BBF8B3D,VAL,VAL,1.0,1.0
UPI000BBFAFEC,VAL,VAL,0.98,1.0
UPI000BBFFB4F,VAL,VAL,1.0,1.0
UPI000BC0437E,endolysin,endolysin,0.94,1.0
UPI000BC059DF,endolysin,endolysin,0.96,1.0
UPI000BC05F3B,VAL,VAL,1.0,1.0
UPI000BC0B179,endolysin,endolysin,0.91,1.0
UPI000BC332DB,endolysin,endolysin,0.9,1.0
UPI000BC34F0F,endolysin,endolysin,1.0,1.0
UPI000BE49998,endolysin,endolysin,0.99,1.0
UPI000C0C1294,endolysin,endolysin,1.0,1.0
UPI000C0C3052,endolysin,endolysin,0.93,1.0
UPI000C0C3C4F,endolysin,endolysin,0.98,1.0
UPI000C0C48F5,endolysin,endolysin,1.0,1.0
UPI000C0C4CEE,endolysin,endolysin,1.0,1.0
UPI000CA11836,VAL,VAL,0.95,1.0
UPI000CA1C5C6,endolysin,endolysin,0.97,1.0
UPI000CA1DED7,endolysin,endolysin,0.94,1.0
UPI000CA1E892,VAL,VAL,0.99,1.0
UPI000CA2257C,endolysin,endolysin,0.99,1.0
UPI000CA27D0C,endolysin,endolysin,0.98,1.0
UPI000CA28D9F,endolysin,endolysin,0.95,1.0
UPI000CA2BF09,VAL,VAL,0.97,1.0
UPI000CDC1248,endolysin,endolysin,0.9,1.0
UPI000CDC15ED,endolysin,endolysin,0.98,1.0
UPI000CDC4282,VAL,VAL,1.0,1.0
UPI000CDC50E1,endolysin,endolysin,1.0,1.0
UPI000CDC7B1B,VAL,VAL,1.0,1.0
UPI000CDC870C,endolysin,endolysin,1.0,1.0
UPI000CDF3D35,endolysin,endolysin,1.0,1.0
UPI000CDF4C80,endolysin,endolysin,1.0,1.0
UPI000CE00F55,endolysin,endolysin,0.98,1.0
UPI000CE03A0F,endolysin,endolysin,1.0,1.0
UPI000D1FEE91,endolysin,endolysin,1.0,1.0
UPI000D202024,VAL,VAL,1.0,1.0
UPI000D2051A3,VAL,VAL,0.9,1.0
UPI000D208153,endolysin,endolysin,0.95,1.0
UPI000D2096AD,endolysin,endolysin,1.0,1.0
UPI000D215259,endolysin,endolysin,0.93,1.0
UPI000D215974,endolysin,endolysin,0.99,1.0
UPI000D215E04,endolysin,endolysin,0.99,1.0
UPI000D2162A9,endolysin,endolysin,1.0,1.0
UPI000D217F38,endolysin,endolysin,0.97,1.0
UPI000D218E9F,endolysin,endolysin,0.9,1.0
UPI000D21E190,endolysin,endolysin,1.0,1.0
UPI000D21E6BF,endolysin,endolysin,1.0,1.0
UPI000D220B0F,endolysin,endolysin,1.0,1.0
UPI000D220FF8,endolysin,endolysin,1.0,1.0
UPI000D2290AB,endolysin,endolysin,1.0,1.0
UPI000D229477,endolysin,endolysin,0.98,1.0
UPI000D543735,VAL,VAL,1.0,1.0
UPI000D544DF1,endolysin,endolysin,0.81,1.0
UPI000D5480DE,VAL,VAL,1.0,1.0
UPI000D549BB2,endolysin,endolysin,0.92,1.0
UPI000D5A26D7,endolysin,endolysin,1.0,1.0
UPI000D7DD909,endolysin,endolysin,1.0,1.0
UPI000D7E3556,endolysin,endolysin,0.95,1.0
UPI000D7E6967,endolysin,endolysin,0.92,1.0
UPI000D7EA53E,endolysin,endolysin,1.0,1.0
UPI000DBAE5C2,endolysin,endolysin,0.76,1.0
UPI000DBB24EF,VAL,VAL,1.0,1.0
UPI000DC72CD3,VAL,VAL,0.99,1.0
UPI000DCA9D78,endolysin,endolysin,0.95,1.0
UPI000DCAB092,endolysin,endolysin,0.97,1.0
UPI000DCAD48B,endolysin,endolysin,0.77,1.0
UPI000DE6D9FD,endolysin,endolysin,0.92,1.0
UPI000DF03D57,endolysin,endolysin,1.0,1.0
UPI000DF04E29,endolysin,endolysin,0.99,1.0
UPI000DF05104,endolysin,endolysin,1.0,1.0
UPI000DF0825F,VAL,VAL,0.99,1.0
UPI000DF08BCC,endolysin,endolysin,0.99,1.0
UPI000E10C3CE,endolysin,endolysin,0.99,1.0
UPI000E299715,VAL,VAL,1.0,1.0
UPI000E29D47B,endolysin,endolysin,1.0,1.0
UPI000E29F4C1,endolysin,endolysin,0.94,1.0
UPI000E29F824,endolysin,endolysin,1.0,1.0
UPI000EB65D93,VAL,VAL,1.0,1.0
UPI000EB66CD0,endolysin,endolysin,0.94,1.0
UPI000EB67EF7,endolysin,endolysin,1.0,1.0
UPI000EB6887F,endolysin,endolysin,0.99,1.0
UPI000EB68944,endolysin,endolysin,0.96,1.0
UPI000EB6AD06,endolysin,endolysin,1.0,1.0
UPI000EB6C971,VAL,VAL,1.0,1.0
UPI000EB6E517,VAL,VAL,1.0,1.0
UPI000EB6F95E,endolysin,endolysin,1.0,1.0
UPI000EB709F7,VAL,VAL,1.0,1.0
UPI000EB70DB9,endolysin,endolysin,1.0,1.0
UPI000EB7399F,endolysin,endolysin,1.0,1.0
UPI000EB761C0,VAL,endolysin,0.51,0.0
UPI000EB77594,endolysin,endolysin,0.95,1.0
UPI000EF2FE7A,endolysin,endolysin,0.97,1.0
UPI000EF3080B,VAL,VAL,0.97,1.0
UPI000F0C3B67,endolysin,endolysin,0.96,1.0
UPI000F0C7882,VAL,VAL,1.0,1.0
UPI000F0CC48E,endolysin,endolysin,0.89,1.0
UPI000F42ED03,endolysin,endolysin,0.91,1.0
UPI000F430425,endolysin,endolysin,0.8,1.0
UPI000F430B19,VAL,VAL,0.77,1.0
UPI000F43187A,endolysin,endolysin,1.0,1.0
UPI000F4325E4,VAL,VAL,1.0,1.0
UPI000F6C1A15,VAL,VAL,1.0,1.0
UPI000F6C7186,VAL,VAL,0.99,1.0
UPI000F7132CA,endolysin,endolysin,1.0,1.0
UPI000F718EB5,VAL,VAL,0.98,1.0
UPI000F85A170,VAL,VAL,0.93,1.0
UPI000FDF6771,VAL,VAL,0.99,1.0
UPI000FDF97C9,VAL,VAL,0.97,1.0
UPI000FDF99FC,VAL,VAL,1.0,1.0
UPI000FDFA4E3,VAL,VAL,0.99,1.0
UPI000FF8B81D,endolysin,endolysin,0.99,1.0
UPI000FF8C661,endolysin,endolysin,1.0,1.0
UPI000FF8EF7A,endolysin,endolysin,1.0,1.0
UPI0010050FD8,endolysin,endolysin,0.98,1.0
UPI00100A070F,endolysin,endolysin,0.97,1.0
UPI00100A215F,endolysin,endolysin,1.0,1.0
UPI0010172642,endolysin,endolysin,1.0,1.0
UPI00101788F4,endolysin,endolysin,1.0,1.0
UPI001017A390,endolysin,endolysin,0.89,1.0
UPI00101810D7,endolysin,endolysin,0.99,1.0
UPI00101859F0,endolysin,endolysin,1.0,1.0
UPI001018878E,endolysin,endolysin,0.97,1.0
UPI001018D2D1,VAL,VAL,0.99,1.0
UPI001018DB5D,endolysin,endolysin,0.95,1.0
UPI0010192447,VAL,VAL,0.88,1.0
UPI00101958EA,endolysin,endolysin,1.0,1.0
UPI001079388B,endolysin,endolysin,0.99,1.0
UPI0010AF29E5,endolysin,endolysin,1.0,1.0
UPI0010AF88D2,endolysin,endolysin,0.99,1.0
UPI0010B1219D,VAL,VAL,0.92,1.0
UPI0010B4DA93,VAL,VAL,0.99,1.0
UPI0010B690E0,endolysin,endolysin,0.95,1.0
UPI0010B8D78B,endolysin,endolysin,1.0,1.0
UPI0010B96635,endolysin,endolysin,1.0,1.0
UPI0010BA5C83,endolysin,endolysin,0.98,1.0
UPI0010BA6139,endolysin,endolysin,1.0,1.0
UPI0010BC5736,endolysin,endolysin,1.0,1.0
UPI0010C29315,VAL,VAL,1.0,1.0
UPI0010C4309E,VAL,VAL,0.97,1.0
UPI0010C48770,VAL,VAL,0.95,1.0
UPI0010C50F2F,VAL,VAL,0.96,1.0
UPI0010C5A531,VAL,VAL,0.99,1.0
UPI0010C80E3C,VAL,VAL,1.0,1.0
UPI00116201FA,endolysin,endolysin,0.96,1.0
UPI0011621D53,VAL,VAL,1.0,1.0
UPI00116237D2,endolysin,endolysin,0.99,1.0
UPI001162A7A7,endolysin,endolysin,1.0,1.0
UPI0011636AF7,endolysin,endolysin,0.94,1.0
UPI00116394CB,VAL,VAL,0.92,1.0
UPI0011641E4E,endolysin,endolysin,0.98,1.0
UPI00116425C7,endolysin,endolysin,0.99,1.0
UPI00116475F2,endolysin,endolysin,1.0,1.0
UPI001164767E,VAL,VAL,0.93,1.0
UPI001164859E,VAL,VAL,1.0,1.0
UPI001164A4A7,VAL,VAL,1.0,1.0
UPI001164B6D6,endolysin,endolysin,0.99,1.0
UPI001164EC94,VAL,VAL,1.0,1.0
UPI00116504E3,endolysin,endolysin,0.97,1.0
UPI001165358C,endolysin,endolysin,1.0,1.0
UPI001165AE76,endolysin,endolysin,0.94,1.0
UPI001165B580,VAL,VAL,0.94,1.0
UPI000009B1E5,endolysin,endolysin,0.8,1.0
UPI000009B597,endolysin,endolysin,0.99,1.0
UPI000009B8BF,endolysin,endolysin,1.0,1.0
UPI000009BAC2,VAL,VAL,1.0,1.0
UPI000009C45B,endolysin,endolysin,1.0,1.0
UPI00000D0A9C,VAL,VAL,0.97,1.0
UPI000012592B,endolysin,endolysin,0.91,1.0
UPI000012EA3F,endolysin,endolysin,1.0,1.0
UPI000012EA49,endolysin,endolysin,1.0,1.0
UPI0000136BE6,VAL,VAL,0.69,1.0
UPI0000138E57,VAL,VAL,0.86,1.0
UPI0000192052,VAL,VAL,1.0,1.0
UPI00001ABD83,endolysin,endolysin,1.0,1.0
UPI00001B5DA7,endolysin,endolysin,0.98,1.0
UPI00001C14A6,VAL,VAL,0.98,1.0
UPI000021CB8F,endolysin,endolysin,0.99,1.0
UPI000023037D,VAL,VAL,0.98,1.0
UPI0000377F53,endolysin,endolysin,0.95,1.0
UPI0000381FF3,endolysin,endolysin,0.96,1.0
UPI0000399715,VAL,VAL,0.94,1.0
UPI00003B98B6,endolysin,endolysin,0.89,1.0
UPI000044CD47,endolysin,endolysin,0.98,1.0
UPI00005DC38E,endolysin,endolysin,1.0,1.0
UPI0000EA29D3,VAL,VAL,0.87,1.0
UPI0000F350B7,endolysin,endolysin,0.87,1.0
UPI0001545FED,endolysin,endolysin,0.89,1.0
UPI00016C6148,endolysin,endolysin,0.91,1.0
UPI00016C62C4,endolysin,endolysin,0.9,1.0
UPI00016C7283,endolysin,endolysin,1.0,1.0
UPI000178DD03,endolysin,endolysin,1.0,1.0
UPI000178DD7F,VAL,VAL,1.0,1.0
UPI00017BDC63,endolysin,endolysin,0.92,1.0
UPI00017FA5E6,endolysin,endolysin,1.0,1.0
UPI0001811837,endolysin,endolysin,1.0,1.0
UPI000181E2F8,endolysin,endolysin,0.9,1.0
UPI00019D972C,VAL,VAL,1.0,1.0
UPI0001A29E93,endolysin,endolysin,0.67,1.0
UPI0001A4C9E7,VAL,VAL,0.99,1.0
UPI0001A4CA9D,VAL,VAL,1.0,1.0
UPI0001B2F248,VAL,VAL,1.0,1.0
UPI0001B60FE3,endolysin,endolysin,0.97,1.0
UPI0001B90BB1,VAL,VAL,0.89,1.0
UPI0001BCFF72,endolysin,endolysin,0.95,1.0
UPI0001C0AD87,VAL,VAL,0.67,1.0
UPI0001CD8C8A,endolysin,endolysin,1.0,1.0
UPI0001CD91FA,endolysin,endolysin,0.75,1.0
UPI0001D0D929,VAL,VAL,1.0,1.0
UPI0001D27B5B,endolysin,endolysin,1.0,1.0
UPI0001D9A370,VAL,VAL,1.0,1.0
UPI0001DDCF65,endolysin,endolysin,0.99,1.0
UPI0001E1312A,endolysin,endolysin,0.99,1.0
UPI0001E4207A,VAL,VAL,0.97,1.0
UPI0001F735C8,VAL,VAL,0.87,1.0
UPI0001FC2585,VAL,endolysin,0.64,0.0
UPI000201F42C,VAL,VAL,0.93,1.0
UPI000203147C,endolysin,endolysin,0.96,1.0
UPI0002081208,endolysin,endolysin,0.95,1.0
UPI00021307AE,endolysin,endolysin,1.0,1.0
UPI000217FE38,endolysin,endolysin,0.99,1.0
UPI0002180009,VAL,VAL,0.97,1.0
UPI000218009A,endolysin,endolysin,1.0,1.0
UPI000218D9A4,endolysin,endolysin,1.0,1.0
UPI000218DA1C,endolysin,endolysin,1.0,1.0
UPI000218E9D2,endolysin,endolysin,0.98,1.0
UPI00021D5723,endolysin,endolysin,1.0,1.0
UPI00021E4FAA,endolysin,endolysin,0.97,1.0
UPI00022A349E,VAL,VAL,0.99,1.0
UPI000231E88C,endolysin,endolysin,1.0,1.0
UPI000231EAED,VAL,VAL,0.98,1.0
UPI000240D3A7,endolysin,endolysin,1.0,1.0
UPI00024A54D3,endolysin,endolysin,0.81,1.0
UPI00024EAEE3,endolysin,endolysin,0.84,1.0
UPI00024FB44F,endolysin,endolysin,0.99,1.0
UPI00024FB4ED,VAL,VAL,0.95,1.0
UPI00025737A4,endolysin,endolysin,1.0,1.0
UPI0002598C95,VAL,VAL,0.87,1.0
UPI00025C5FB9,endolysin,endolysin,1.0,1.0
UPI00025F67CB,endolysin,endolysin,0.99,1.0
UPI0002661FA8,VAL,VAL,1.0,1.0
UPI00026E07B8,endolysin,endolysin,0.97,1.0
UPI0002775864,endolysin,endolysin,0.98,1.0
UPI00027A532D,endolysin,endolysin,0.65,1.0
UPI00027EC914,VAL,VAL,0.97,1.0
UPI00027EFDD7,endolysin,endolysin,0.89,1.0
UPI00027F0687,endolysin,endolysin,1.0,1.0
UPI00027F168E,endolysin,endolysin,0.96,1.0
UPI00028A5495,endolysin,endolysin,0.9,1.0
UPI00028A6F25,VAL,VAL,0.89,1.0
UPI00028A94FA,VAL,VAL,0.88,1.0
UPI00028B8932,endolysin,endolysin,0.99,1.0
UPI00029C7D6E,VAL,VAL,1.0,1.0
UPI00029D40B9,endolysin,endolysin,0.99,1.0
UPI0002BC2AD0,VAL,VAL,0.99,1.0
UPI0002C0E6ED,endolysin,endolysin,0.96,1.0
UPI0002C12232,VAL,VAL,0.95,1.0
UPI0002C14935,VAL,VAL,1.0,1.0
UPI0002C504BB,endolysin,endolysin,1.0,1.0
UPI0002C50898,endolysin,endolysin,0.98,1.0
UPI0002F4E303,endolysin,endolysin,0.84,1.0
UPI00032B330A,endolysin,endolysin,1.0,1.0
UPI00034268F7,endolysin,endolysin,1.0,1.0
UPI0003508302,endolysin,endolysin,0.88,1.0
UPI0003586688,endolysin,endolysin,0.99,1.0
UPI00035AB654,VAL,VAL,0.91,1.0
